# ============================================================
# SAINT LOUIS UNIVERSITY - SAMCIS
# BACHELOR OF SCIENCE IN COMPUTER SCIENCE (BSCS)
# Effective A.Y. 2018-2019
# ============================================================
# Format: YEAR|TERM|COURSE_NO|DESCRIPTIVE_TITLE|UNITS|PREREQ
# ============================================================

# ---------- FIRST YEAR - 1st Semester ----------
3|1st Semester|CS 311L|Applications Development (Lab)|1.0|CS 122
3|1st Semester|CS 312|Web Systems Development|2.0|CS 211
3|1st Semester|CS 312L|Web Systems Development (Lab)|1.0|CS 211
3|1st Semester|CS 313|Software Engineering|3.0|CS 131, CS 221
3|1st Semester|CS 314|Social and Personal Development in the ICT Workplace|3.0|CS 111, GSELF
3|1st Semester|CS 315|Technology-Assisted Presentation and Communication|3.0|CS 111, GPCOM
3|1st Semester|CSM 316|Numerical Methods for Computer Science|3.0|CS 132
3|1st Semester|CFE 105A|CICM in Action: Justice, Peace, and Integrity of Creation, Indigenous Peoples, and Interreligious Dialogue|1.5|CFE 103, CFE 104

# ---------- THIRD YEAR - 2nd Semester ----------
3|2nd Semester|CS 321|Artificial Intelligence|3.0|CS 132, CS 211
3|2nd Semester|CS 322|Data Science|2.0|CS 221
3|2nd Semester|CS 322L|Data Science (Lab)|1.0|CS 221
3|2nd Semester|CS 323|Modeling and Simulation|2.0|CS 132, CS 211
3|2nd Semester|CS 323L|Modeling and Simulation (Lab)|1.0|CS 132, CS 211
3|2nd Semester|CS 324|Methods of Research in Computer Science|3.0|3rd year standing
3|2nd Semester|CS 325|Structure of Programming Languages|3.0|CS 211
3|2nd Semester|CFE 105B|CICM in Action: Environmental Planning and Management and Disaster Risk Reduction Management|1.5|CFE 105A

# ---------- THIRD YEAR - Short Term ----------
3|Short Term|CS 331|Practicum|6.0|4th year standing

# ---------- FOURTH YEAR - 1st Semester ----------
4|1st Semester|CFE 106A|Embracing the CICM Mission (Part A)|1.5|CFE 105B
4|1st Semester|CS 411|CS Thesis 1|3.0|CS 324
